Brand Name,Product Name,Colors,Sizes,Product Description,UPC,Custom Field,Product Images,SalePrice,ActualPrice
Michael Kors,MK9102 - Lennox Chronograph,Gunmetal, ,"Watch Sizing Guide
SKU: #9902667
Keep your style game always on point with the Michael Kors® MK7361 - Lennox Three-Hand watch.
Stainless steel case with rhinestone embellsihed topring.
Round analog sunray dial featuring three-hand movement and brand name detailing.
Stainless steel bracelet strap with pavé centerlink and two pusher foldover clasp closure.
Water-resistant up to 50 meters.
Presentation box included.
Made in Japan.
This product may have a manufacturer's warranty. Please visit the manufacturer's website or contact us at warranty@support.zappos.com for full manufacturer warranty details.",796483612761,6pm SKU:#9902667,"https://m.media-amazon.com/images/I/817NY0CUcnL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/61KTgIBXkYL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/61tyo0WebtL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/71BxkvjJ2CL._AC_SR736,920_.jpg",148.00,295.00
Michael Kors,MK9093 - Everest Three-Hand,Gunmetal, ,"Watch Sizing Guide
SKU: #9902664
Bring on a timeles appeal to your veryday look with the Michael Kors® MK7357 - Everest Three-Hand watch.
Stainless steel case with minute markers on the topring.
Round analog dial featuring geometric indices, three-hand moement, brand name detail, and shimmering pavéd accents.
Stainless steel mesh bracelet with buckle closure.
Water-resistant up to 100 meters.
Presentation box included.
Made in Japan.
This product may have a manufacturer's warranty. Please visit the manufacturer's website or contact us at warranty@support.zappos.com for full manufacturer warranty details.",796483613232,6pm SKU:#9902664,"https://m.media-amazon.com/images/I/81Ujw9DbrqL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/71V6ryCfc6L._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/71yGJvHf5sL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/71BxkvjJ2CL._AC_SR736,920_.jpg",141.01,250.00
Timex,37 mm Legacy Ocean,Pink, ,"Bring some magical touch to your appearance wearing the Timex® 37 mm Legacy Ocean watch.
SKU: #9899306
Water resistant up to 30 meters.
Quartz movement.
Mineral crystal face.
Resin case.
Luminant silver hands.
Deployment clasp closure.
Imported.
This product may have a manufacturer's warranty. Please visit the manufacturer's website or contact us at warranty@support.zappos.com for full manufacturer warranty details.",194366259636,6pm SKU:#9899306,"https://m.media-amazon.com/images/I/61wZHdqlesL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/71pT64v850L._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/71Rl1QUtcRL._AC_SR736,920_.jpg",,58.00,99.00
Timex,41 mm Standard Chrono Leather Combo Strap Watch,Black, ,"Give your casual look an elegant touch by wearing the Timex® 41 mm Standard Chrono Leather Combo Strap Watch.
SKU: #9826980
Chronograph watch featuring a low lead brass case.
Round analog dial with three-hand quartz movement, Arabic and index hour markers, three sub-dials, and date display at 4 o'clock position.
Quick-release leather strap with adjustable buckle closure.
Water-resistant up to 50 meters.
Imported.
This product may have a manufacturer's warranty. Please visit the manufacturer's website or contact us at warranty@support.zappos.com for full manufacturer warranty details.
Measurements:
Case Diameter: 41 mm;
Weight: 5 oz.",194366203028,6pm SKU:#9826980,"https://m.media-amazon.com/images/I/71kyxA-LaqL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/71EzLRtgJBL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/51pfKKKwP9L._AC_SR736,920_.jpg",,101.15,119.00
Diesel,Split Chronograph Stainless Steel Watch - DZ4623,Gold, ,"Watch Sizing Guide
SKU: #9881610
Leave an impeccable impression by donning the functional Diesel® Split Chronograph Stainless Steel Watch - DZ4623.
Stainless steel construction.
Bracelet deployant closure.
Chronograph movement with a sunray dial.
Goldtone bracelet-style watch.
Water-resistant up to 50 m.
Comes in a presentation box.
Made in Japan.
This product may have a manufacturer's warranty. Please visit the manufacturer's website or contact us at warranty@support.zappos.com for full manufacturer warranty details.
Measurements:
Case Width: 43 mm",698615147236,6pm SKU:#9881610,"https://m.media-amazon.com/images/I/61Q538rwqkL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/51Y1M5KNTvL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/51dsbCJo+eL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/61YFbUc-uqL._AC_SR736,920_.jpg",242.96,270.00
Diesel,Split Chronograph Two-Tone Stainless Steel Watch - DZ4625,Gold/Silver, ,"Watch Sizing Guide
SKU: #9881612
Elevate your everyday style with the super functional Diesel® Split Chronograph Two-Tone Stainless Steel Watch - DZ4625.
Stainless steel construction.
Bracelet deployant closure.
Chronograph movement with a satin dial.
Two-tone bracelet-style watch.
Water-resistant up to 50 m.
Comes in a presentation box.
Made in Japan.
This product may have a manufacturer's warranty. Please visit the manufacturer's website or contact us at warranty@support.zappos.com for full manufacturer warranty details.
Measurements:
Case Width: 51 mm",698615147281,6pm SKU:#9881612,"https://m.media-amazon.com/images/I/61FgIjWCfbL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/512NIlrVccL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/51tkoFRTZzL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/61YFbUc-uqL._AC_SR736,920_.jpg",149.00,270.00
Diesel,Baby Chief Three-Hand Solar-Powered rPET Watch - DZ4619,Red, ,"Watch Sizing Guide
SKU: #9881606
Keep your clean and chic by adding the minimalist design of the Diesel® Baby Chief Three-Hand Solar-Powered rPET Watch - DZ4619 wristwatch.
Stainless steel construction.
Red brushed dial.
Three-hand solar-powered movement.
Sleek red 100% rPET strap with signature branding.
Single-prong strap buckle closure.
Solar-powered design.
Water resistant up to 50 meters.
Presentation box included.
Made in Japan.
This product may have a manufacturer's warranty. Please visit the manufacturer's website or contact us at warranty@support.zappos.com for full manufacturer warranty details.",698615147472,6pm SKU:#9881606,"https://m.media-amazon.com/images/I/61Nk0roOWiL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/51mq716E6jL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/615u1FOhG6L._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/61YFbUc-uqL._AC_SR736,920_.jpg",170.96,190.00
Diesel,Cliffhanger Three-Hand Two-Tone Stainless Steel Watch - DZ2169,Gold/Silver, ,"Watch Sizing Guide
SKU: #9881603
Give a striking twist to your look by donning the Diesel® Cliffhanger Three-Hand Two-Tone Stainless Steel Watch - DZ2169.
Stainless steel construction.
Bracelet deployant closure.
Three-hand date movement with a satin dial.
Two-tone bracelet-style watch.
Water-resistant up to 50 m.
Comes in a presentation box.
Made in Japan.
This product may have a manufacturer's warranty. Please visit the manufacturer's website or contact us at warranty@support.zappos.com for full manufacturer warranty details.
Measurements:
Case Width: 36 mm",698615147298,6pm SKU:#9881603,"https://m.media-amazon.com/images/I/611Wng8JW1L._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/51f5m-vxumL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/514aM4R5eLL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/61YFbUc-uqL._AC_SR736,920_.jpg",188.96,210.00
Timex,40 mm Gallery 3-Hand Leather Strap Watch,Tan, ,"Adopt a charming and dapper look by wearing the Timex® 40 mm Gallery 3-Hand Leather Strap Watch.
SKU: #9826979
Low lead brass case housing round analog dial with three-hand movement and index hour markers.
Quick-release, leather strap with adjustable buckle closure.
Water-resistant up to 30 meters.
Imported.
This product may have a manufacturer's warranty. Please visit the manufacturer's website or contact us at warranty@support.zappos.com for full manufacturer warranty details.
Measurements:
Case Diameter: 40 mm;
Weight: 4.8 oz.",194366202991,6pm SKU:#9826979,"https://m.media-amazon.com/images/I/71I4dNIwWkL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/71XWQWjDuVL._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/513CdP7-krL._AC_SR736,920_.jpg",,53.00,89.00
GUESS,36 mm Crystalline 3-Hand Case Sunray 12 Diamond Dial Plated Bracelet GW0114L3,Rose Gold/White/Rose Gold, ,"Adorn your wrist with the glittering shine of the rose goldtone GUESS® 36 mm Crystalline 3-Hand Case Sunray 12 Diamond Dial Plated Bracelet GW0114L3 wristwatch.
SKU: #9881944
Rose goldtone stainless steel casing.
Round sunray dial and diamond-studded hour markers with brand name featuring a three-hand analog movement.
Stainless steel bracelet strap with folding push deployment clip closure.
Water-resistant up to 50 meters.
Presentation box included.
Imported.
This product may have a manufacturer's warranty. Please visit the manufacturer's website or contact us at warranty@support.zappos.com for full manufacturer warranty details.
Measurements:
Case Height: 36 mm
Case Width: 36 mm
Case Depth: 10 mm
Band Width: 16 mm
Band Circumference/Length: 7 in
Weight: 3 oz",091661517341,6pm SKU:#9881944,"https://m.media-amazon.com/images/I/61jKXkJz11L._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/71YGpMLew0L._AC_SR736,920_.jpg","https://m.media-amazon.com/images/I/71P02Dy-oKL._AC_SR736,920_.jpg",,117.00,195.00
